EDAM_data:0005, "Resource type"
EDAM_data:1158, "Pathway ID (INOH)"
EDAM_data:1159, "Pathway ID (PATIKA)"
EDAM_data:1160, "Pathway ID (CPDB)"
EDAM_data:1161, "Pathway ID (Panther)"
EDAM_data:1162, "MIRIAM identifier"
EDAM_data:1163, "MIRIAM data type name"
EDAM_data:1164, "MIRIAM URI"
EDAM_data:1165, "MIRIAM data type primary name"
EDAM_data:1166, "MIRIAM data type synonymous name"
EDAM_data:1167, "Taverna workflow ID"
EDAM_data:1170, "Biological model name"
EDAM_data:1171, "BioModel ID"
EDAM_data:1172, "PubChem CID"
EDAM_data:1173, "ChemSpider ID"
EDAM_data:1174, "ChEBI ID"
EDAM_data:1175, "BioPax concept ID"
EDAM_data:1176, "GO concept ID"
EDAM_data:1177, "MeSH concept ID"
EDAM_data:1178, "HGNC concept ID"
EDAM_data:1179, "NCBI taxonomy ID"
EDAM_data:1180, "Plant Ontology concept ID"
EDAM_data:1181, "UMLS concept ID"
EDAM_data:1182, "FMA concept ID"
EDAM_data:1183, "EMAP concept ID"
EDAM_data:1184, "ChEBI concept ID"
EDAM_data:1185, "MGED concept ID"
EDAM_data:1186, "myGrid concept ID"
EDAM_data:1187, "PubMed ID"
EDAM_data:1188, "DOI"
EDAM_data:1189, "Medline UI"
EDAM_data:1190, "Tool name"
EDAM_data:1191, "Tool name (signature)"
EDAM_data:1192, "Tool name (BLAST)"
EDAM_data:1193, "Tool name (FASTA)"
EDAM_data:1194, "Tool name (EMBOSS)"
EDAM_data:1195, "Tool name (EMBASSY package)"
EDAM_data:1201, "QSAR descriptor (constitutional)"
EDAM_data:1202, "QSAR descriptor (electronic)"
EDAM_data:1203, "QSAR descriptor (geometrical)"
EDAM_data:1204, "QSAR descriptor (topological)"
EDAM_data:1205, "QSAR descriptor (molecular)"
EDAM_data:1233, "Sequence set (protein)"
EDAM_data:1234, "Sequence set (nucleic acid)"
EDAM_data:1235, "Sequence cluster"
EDAM_data:1236, "Psiblast checkpoint file"
EDAM_data:1237, "HMMER synthetic sequences set"
EDAM_data:1238, "Proteolytic digest"
EDAM_data:1239, "Restriction digest"
EDAM_data:1240, "PCR primers"
EDAM_data:1241, "vectorstrip cloning vector definition file"
EDAM_data:1242, "Primer3 internal oligo mishybridizing library"
EDAM_data:1243, "Primer3 mispriming library file"
EDAM_data:1244, "primersearch primer pairs sequence record"
EDAM_data:1245, "Sequence cluster (protein)"
EDAM_data:1246, "Sequence cluster (nucleic acid)"
EDAM_data:1249, "Sequence length"
EDAM_data:1250, "Word size"
EDAM_data:1251, "Window size"
EDAM_data:1252, "Sequence length range"
EDAM_data:1253, "Sequence information report"
EDAM_data:1254, "Sequence property"
EDAM_data:1255, "Sequence features"
EDAM_data:1256, "Sequence features (comparative)"
EDAM_data:1257, "Sequence property (protein)"
EDAM_data:1258, "Sequence property (nucleic acid)"
EDAM_data:1259, "Sequence complexity report"
EDAM_data:1260, "Sequence ambiguity report"
EDAM_data:1261, "Sequence composition report"
EDAM_data:1262, "Peptide molecular weight hits"
EDAM_data:1263, "Base position variability plot"
EDAM_data:1264, "Sequence composition table"
EDAM_data:1265, "Base frequencies table"
EDAM_data:1266, "Base word frequencies table"
EDAM_data:1267, "Amino acid frequencies table"
EDAM_data:1268, "Amino acid word frequencies table"
EDAM_data:1269, "DAS sequence feature annotation"
EDAM_data:1270, "Feature table"
EDAM_data:1274, "Map"
EDAM_data:1276, "Nucleic acid features"
EDAM_data:1277, "Protein features"
EDAM_data:1278, "Genetic map"
EDAM_data:1279, "Sequence map"
EDAM_data:1280, "Physical map"
EDAM_data:1281, "Sequence signature map"
EDAM_data:1283, "Cytogenetic map"
EDAM_data:1284, "DNA transduction map"
EDAM_data:1285, "Gene map"
EDAM_data:1286, "Plasmid map"
EDAM_data:1288, "Genome map"
EDAM_data:1289, "Restriction map"
EDAM_data:1290, "InterPro compact match image"
EDAM_data:1291, "InterPro detailed match image"
EDAM_data:1292, "InterPro architecture image"
EDAM_data:1293, "SMART protein schematic"
EDAM_data:1294, "GlobPlot domain image"
EDAM_data:1298, "Sequence motif matches"
EDAM_data:1299, "Sequence features (repeats)"
EDAM_data:1300, "Gene and transcript structure (report)"
EDAM_data:1301, "Mobile genetic elements"
EDAM_data:1302, "Nucleic acid features report (PolyA signal or site)"
EDAM_data:1303, "Nucleic acid features (quadruplexes)"
EDAM_data:1304, "Nucleic acid features report (CpG island and isochore)"
EDAM_data:1305, "Nucleic acid features report (restriction sites)"
EDAM_data:1306, "Nucleosome exclusion sequences"
EDAM_data:1307, "Nucleic acid features report (splice sites)"
EDAM_data:1308, "Nucleic acid features report (matrix/scaffold attachment sites)"
EDAM_data:1309, "Gene features (exonic splicing enhancer)"
EDAM_data:1310, "Nucleic acid features (microRNA)"
EDAM_data:1311, "Gene features report (operon)"
EDAM_data:1312, "Nucleic acid features report (promoters)"
EDAM_data:1313, "Coding region"
EDAM_data:1314, "Gene features (SECIS element)"
EDAM_data:1315, "Transcription factor binding sites"
EDAM_data:1321, "Protein features (sites)"
EDAM_data:1322, "Protein features report (signal peptides)"
EDAM_data:1323, "Protein features report (cleavage sites)"
EDAM_data:1324, "Protein features (post-translation modifications)"
EDAM_data:1325, "Protein features report (active sites)"
EDAM_data:1326, "Protein features report (binding sites)"
EDAM_data:1327, "Protein features (epitopes)"
EDAM_data:1328, "Protein features report (nucleic acid binding sites)"
EDAM_data:1329, "MHC Class I epitopes report"
EDAM_data:1330, "MHC Class II epitopes report"
EDAM_data:1331, "Protein features (PEST sites)"
EDAM_data:1338, "Sequence database hits scores list"
EDAM_data:1339, "Sequence database hits alignments list"
EDAM_data:1340, "Sequence database hits evaluation data"
EDAM_data:1344, "MEME motif alphabet"
EDAM_data:1345, "MEME background frequencies file"
EDAM_data:1346, "MEME motifs directive file"
EDAM_data:1347, "Dirichlet distribution"
EDAM_data:1348, "HMM emission and transition counts"
EDAM_data:1352, "Regular expression"
EDAM_data:1353, "Sequence motif"
EDAM_data:1354, "Sequence profile"
EDAM_data:1355, "Protein signature"
EDAM_data:1358, "Prosite nucleotide pattern"
EDAM_data:1359, "Prosite protein pattern"
EDAM_data:1361, "Position frequency matrix"
EDAM_data:1362, "Position weight matrix"
EDAM_data:1363, "Information content matrix"
EDAM_data:1364, "Hidden Markov model"
EDAM_data:1365, "Fingerprint"
EDAM_data:1368, "Domainatrix signature"
EDAM_data:1371, "HMMER NULL hidden Markov model"
EDAM_data:1372, "Protein family signature"
EDAM_data:1373, "Protein domain signature"
EDAM_data:1374, "Protein region signature"
EDAM_data:1375, "Protein repeat signature"
EDAM_data:1376, "Protein site signature"
EDAM_data:1377, "Protein conserved site signature"
EDAM_data:1378, "Protein active site signature"
EDAM_data:1379, "Protein binding site signature"
EDAM_data:1380, "Protein post-translational modification signature"
EDAM_data:1381, "Sequence alignment (pair)"
EDAM_data:1382, "Sequence alignment (multiple)"
EDAM_data:1383, "Sequence alignment (nucleic acid)"
EDAM_data:1384, "Sequence alignment (protein)"
EDAM_data:1385, "Sequence alignment (hybrid)"
EDAM_data:1386, "Sequence alignment (nucleic acid pair)"
EDAM_data:1387, "Sequence alignment (protein pair)"
EDAM_data:1388, "Hybrid sequence alignment (pair)"
EDAM_data:1389, "Multiple nucleotide sequence alignment"
EDAM_data:1390, "Multiple protein sequence alignment"
EDAM_data:1394, "Alignment score or penalty"
EDAM_data:1395, "Score end gaps control"
EDAM_data:1396, "Aligned sequence order"
EDAM_data:1397, "Gap opening penalty"
EDAM_data:1398, "Gap extension penalty"
EDAM_data:1399, "Gap separation penalty"
EDAM_data:1400, "Terminal gap penalty"
EDAM_data:1401, "Match reward score"
EDAM_data:1402, "Mismatch penalty score"
EDAM_data:1403, "Drop off score"
EDAM_data:1404, "Gap opening penalty (integer)"
EDAM_data:1405, "Gap opening penalty (float)"
EDAM_data:1406, "Gap extension penalty (integer)"
EDAM_data:1407, "Gap extension penalty (float)"
EDAM_data:1408, "Gap separation penalty (integer)"
EDAM_data:1409, "Gap separation penalty (float)"
EDAM_data:1410, "Terminal gap opening penalty"
EDAM_data:1411, "Terminal gap extension penalty"
EDAM_data:1412, "Sequence identity"
EDAM_data:1413, "Sequence similarity"
EDAM_data:1414, "Sequence alignment metadata (quality report)"
EDAM_data:1415, "Sequence alignment report (site conservation)"
EDAM_data:1416, "Sequence alignment report (site correlation)"
EDAM_data:1417, "Sequence-profile alignment (Domainatrix signature)"
EDAM_data:1418, "Sequence-profile alignment (HMM)"
EDAM_data:1420, "Sequence-profile alignment (fingerprint)"
EDAM_data:1426, "Phylogenetic continuous quantitative data"
EDAM_data:1427, "Phylogenetic discrete data"
EDAM_data:1428, "Phylogenetic character cliques"
EDAM_data:1429, "Phylogenetic invariants"
EDAM_data:1438, "Phylogenetic report"
EDAM_data:1439, "DNA substitution model"
EDAM_data:1440, "Phylogenetic tree report (tree shape)"
EDAM_data:1441, "Phylogenetic tree report (tree evaluation)"
EDAM_data:1442, "Phylogenetic tree distances"
EDAM_data:1443, "Phylogenetic tree report (tree stratigraphic)"
EDAM_data:1444, "Phylogenetic character contrasts"
EDAM_data:1446, "Comparison matrix (integers)"
EDAM_data:1447, "Comparison matrix (floats)"
EDAM_data:1448, "Comparison matrix (nucleotide)"
EDAM_data:1449, "Comparison matrix (amino acid)"
EDAM_data:1450, "Nucleotide comparison matrix (integers)"
EDAM_data:1451, "Nucleotide comparison matrix (floats)"
EDAM_data:1452, "Amino acid comparison matrix (integers)"
EDAM_data:1453, "Amino acid comparison matrix (floats)"
EDAM_data:1456, "Protein features report (membrane regions)"
EDAM_data:1459, "Nucleic acid structure"
EDAM_data:1460, "Protein structure"
EDAM_data:1461, "Protein-ligand complex"
EDAM_data:1462, "Carbohydrate structure"
EDAM_data:1463, "Small molecule structure"
EDAM_data:1464, "DNA structure"
EDAM_data:1465, "RNA structure"
EDAM_data:1466, "tRNA structure"
EDAM_data:1467, "Protein chain"
EDAM_data:1468, "Protein domain"
EDAM_data:1469, "Protein structure (all atoms)"
EDAM_data:1470, "C-alpha trace"
EDAM_data:1471, "Protein chain (all atoms)"
EDAM_data:1472, "Protein chain (C-alpha atoms)"
EDAM_data:1473, "Protein domain (all atoms)"
EDAM_data:1474, "Protein domain (C-alpha atoms)"
EDAM_data:1479, "Structure alignment (pair)"
EDAM_data:1480, "Structure alignment (multiple)"
EDAM_data:1481, "Structure alignment (protein)"
EDAM_data:1482, "Structure alignment (nucleic acid)"
EDAM_data:1483, "Structure alignment (protein pair)"
EDAM_data:1484, "Multiple protein tertiary structure alignment"
EDAM_data:1485, "Structure alignment (protein all atoms)"
EDAM_data:1486, "Structure alignment (protein C-alpha atoms)"
EDAM_data:1487, "Pairwise protein tertiary structure alignment (all atoms)"
EDAM_data:1488, "Pairwise protein tertiary structure alignment (C-alpha atoms)"
EDAM_data:1489, "Multiple protein tertiary structure alignment (all atoms)"
EDAM_data:1490, "Multiple protein tertiary structure alignment (C-alpha atoms)"
EDAM_data:1491, "Structure alignment (nucleic acid pair)"
EDAM_data:1492, "Multiple nucleic acid tertiary structure alignment"
EDAM_data:1493, "Structure alignment (RNA)"
EDAM_data:1494, "Structural transformation matrix"
EDAM_data:1495, "DaliLite hit table"
EDAM_data:1496, "Molecular similarity score"
EDAM_data:1497, "Root-mean-square deviation"
EDAM_data:1498, "Tanimoto similarity score"
EDAM_data:1499, "3D-1D scoring matrix"
EDAM_data:1501, "Amino acid index"
EDAM_data:1502, "Amino acid index (chemical classes)"
EDAM_data:1503, "Amino acid pair-wise contact potentials"
EDAM_data:1505, "Amino acid index (molecular weight)"
EDAM_data:1506, "Amino acid index (hydropathy)"
EDAM_data:1507, "Amino acid index (White-Wimley data)"
EDAM_data:1508, "Amino acid index (van der Waals radii)"
EDAM_data:1509, "Enzyme report"
EDAM_data:1517, "Restriction enzyme report"
EDAM_data:1519, "Peptide molecular weights"
EDAM_data:1520, "Peptide hydrophobic moment"
EDAM_data:1521, "Protein aliphatic index"
EDAM_data:1522, "Protein sequence hydropathy plot"
EDAM_data:1523, "Protein charge plot"
EDAM_data:1524, "Protein solubility"
EDAM_data:1525, "Protein crystallizability"
EDAM_data:1526, "Protein globularity"
EDAM_data:1527, "Protein titration curve"
EDAM_data:1528, "Protein isoelectric point"
EDAM_data:1529, "Protein pKa value"
EDAM_data:1530, "Protein hydrogen exchange rate"
EDAM_data:1531, "Protein extinction coefficient"
EDAM_data:1532, "Protein optical density"
EDAM_data:1533, "Protein subcellular localization"
EDAM_data:1534, "Peptide immunogenicity data"
EDAM_data:1536, "MHC peptide immunogenicity report"
EDAM_data:1537, "Protein structure report"
EDAM_data:1539, "Protein structural quality report"
EDAM_data:1540, "Protein residue interactions"
EDAM_data:1541, "Protein flexibility or motion report"
EDAM_data:1542, "Protein solvent accessibility"
EDAM_data:1543, "Protein surface report"
EDAM_data:1544, "Ramachandran plot"
EDAM_data:1545, "Protein dipole moment"
EDAM_data:1546, "Protein distance matrix"
EDAM_data:1547, "Protein contact map"
EDAM_data:1548, "Protein residue 3D cluster"
EDAM_data:1549, "Protein hydrogen bonds"
EDAM_data:1550, "Protein non-canonical interactions"
EDAM_data:1553, "CATH node"
EDAM_data:1554, "SCOP node"
EDAM_data:1555, "EMBASSY domain classification"
EDAM_data:1556, "CATH class"
EDAM_data:1557, "CATH architecture"
EDAM_data:1558, "CATH topology"
EDAM_data:1559, "CATH homologous superfamily"
EDAM_data:1560, "CATH structurally similar group"
EDAM_data:1561, "CATH functional category"
EDAM_data:1564, "Protein fold recognition report"
EDAM_data:1565, "Protein-protein interaction report"
EDAM_data:1566, "Protein-ligand interaction report"
EDAM_data:1567, "Protein-nucleic acid interactions report"
EDAM_data:1583, "Nucleic acid melting profile"
EDAM_data:1584, "Nucleic acid enthalpy"
EDAM_data:1585, "Nucleic acid entropy"
EDAM_data:1586, "Nucleic acid melting temperature"
EDAM_data:1587, "Nucleic acid stitch profile"
EDAM_data:1588, "DNA base pair stacking energies data"
EDAM_data:1589, "DNA base pair twist angle data"
EDAM_data:1590, "DNA base trimer roll angles data"
EDAM_data:1591, "Vienna RNA parameters"
EDAM_data:1592, "Vienna RNA structure constraints"
EDAM_data:1593, "Vienna RNA concentration data"
EDAM_data:1594, "Vienna RNA calculated energy"
EDAM_data:1595, "Base pairing probability matrix dotplot"
EDAM_data:1596, "Nucleic acid folding report"
EDAM_data:1597, "Codon usage table"
EDAM_data:1598, "Genetic code"
EDAM_data:1599, "Codon adaptation index"
EDAM_data:1600, "Codon usage bias plot"
EDAM_data:1601, "Nc statistic"
EDAM_data:1602, "Codon usage fraction difference"
EDAM_data:1621, "Pharmacogenomic test report"
EDAM_data:1622, "Disease report"
EDAM_data:1634, "Linkage disequilibrium (report)"
EDAM_data:1636, "Heat map"
EDAM_data:1642, "Affymetrix probe sets library file"
EDAM_data:1643, "Affymetrix probe sets information library file"
EDAM_data:1646, "Molecular weights standard fingerprint"
EDAM_data:1656, "Metabolic pathway report"
EDAM_data:1657, "Genetic information processing pathway report"
